193	2021-01-16 07:00:50+07	538	14-get-wo-kaltim	UJKT
194	2021-01-16 07:00:54+07	584	14-get-wo-tenayan	UJTY
195	2021-01-16 07:00:57+07	515	14-get-wo-pulpis	UJPS
196	2021-01-16 12:15:48+07	1553	12-get-wo-ellipse	UP
197	2021-01-16 12:15:59+07	3942	13-get-wo-jomjawa	JOM-JW
198	2021-01-16 12:16:02+07	538	14-get-wo-kaltim	UJKT
199	2021-01-16 12:16:07+07	584	14-get-wo-tenayan	UJTY
200	2021-01-16 12:16:10+07	508	14-get-wo-pulpis	UJPS
201	2021-01-17 07:00:12+07	1551	12-get-wo-ellipse	UP
202	2021-01-17 07:00:23+07	3925	13-get-wo-jomjawa	JOM-JW
203	2021-01-17 07:00:26+07	538	14-get-wo-kaltim	UJKT
204	2021-01-17 07:00:30+07	584	14-get-wo-tenayan	UJTY
205	2021-01-17 07:00:33+07	508	14-get-wo-pulpis	UJPS
206	2021-01-17 12:15:08+07	1552	12-get-wo-ellipse	UP
207	2021-01-17 12:15:19+07	3922	13-get-wo-jomjawa	JOM-JW
208	2021-01-17 12:15:23+07	539	14-get-wo-kaltim	UJKT
209	2021-01-17 12:15:27+07	587	14-get-wo-tenayan	UJTY
210	2021-01-17 12:15:29+07	518	14-get-wo-pulpis	UJPS
211	2021-01-18 07:00:09+07	1548	12-get-wo-ellipse	UP
212	2021-01-18 07:00:21+07	3930	13-get-wo-jomjawa	JOM-JW
213	2021-01-18 07:00:24+07	536	14-get-wo-kaltim	UJKT
214	2021-01-18 07:00:28+07	587	14-get-wo-tenayan	UJTY
215	2021-01-18 07:00:30+07	519	14-get-wo-pulpis	UJPS
216	2021-01-18 12:15:12+07	1569	12-get-wo-ellipse	UP
217	2021-01-18 12:15:24+07	3914	13-get-wo-jomjawa	JOM-JW
218	2021-01-18 12:15:26+07	545	14-get-wo-kaltim	UJKT
219	2021-01-18 12:15:31+07	587	14-get-wo-tenayan	UJTY
220	2021-01-19 07:00:09+07	1559	12-get-wo-ellipse	UP
221	2021-01-19 07:00:21+07	3914	13-get-wo-jomjawa	JOM-JW
222	2021-01-19 07:00:24+07	541	14-get-wo-kaltim	UJKT
223	2021-01-19 07:00:28+07	588	14-get-wo-tenayan	UJTY
224	2021-01-19 07:00:30+07	524	14-get-wo-pulpis	UJPS
225	2021-01-19 12:15:43+07	1580	12-get-wo-ellipse	UP
226	2021-01-19 12:15:54+07	3923	13-get-wo-jomjawa	JOM-JW
227	2021-01-19 12:15:57+07	533	14-get-wo-kaltim	UJKT
228	2021-01-19 12:16:01+07	592	14-get-wo-tenayan	UJTY
229	2021-01-19 12:16:05+07	525	14-get-wo-pulpis	UJPS
230	2021-01-20 07:00:11+07	1581	12-get-wo-ellipse	UP
231	2021-01-20 07:00:21+07	3916	13-get-wo-jomjawa	JOM-JW
232	2021-01-20 07:00:24+07	533	14-get-wo-kaltim	UJKT
233	2021-01-20 07:00:28+07	586	14-get-wo-tenayan	UJTY
234	2021-01-20 07:00:31+07	528	14-get-wo-pulpis	UJPS
235	2021-01-20 12:15:09+07	1579	12-get-wo-ellipse	UP
236	2021-01-20 12:15:20+07	3920	13-get-wo-jomjawa	JOM-JW
237	2021-01-20 12:15:23+07	542	14-get-wo-kaltim	UJKT
238	2021-01-20 12:15:28+07	589	14-get-wo-tenayan	UJTY
239	2021-01-20 12:15:31+07	526	14-get-wo-pulpis	UJPS
240	2021-01-21 07:00:07+07	1559	12-get-wo-ellipse	UP
241	2021-01-21 07:00:16+07	3908	13-get-wo-jomjawa	JOM-JW
242	2021-01-21 07:00:19+07	528	14-get-wo-kaltim	UJKT
243	2021-01-21 07:00:23+07	594	14-get-wo-tenayan	UJTY
244	2021-01-21 07:00:28+07	527	14-get-wo-pulpis	UJPS
245	2021-01-21 12:15:07+07	1558	12-get-wo-ellipse	UP
246	2021-01-21 12:15:16+07	3941	13-get-wo-jomjawa	JOM-JW
247	2021-01-21 12:15:19+07	517	14-get-wo-kaltim	UJKT
248	2021-01-21 12:15:23+07	604	14-get-wo-tenayan	UJTY
249	2021-01-21 12:15:26+07	531	14-get-wo-pulpis	UJPS
250	2021-01-22 07:00:10+07	1583	12-get-wo-ellipse	UP
251	2021-01-22 07:00:21+07	3915	13-get-wo-jomjawa	JOM-JW
252	2021-01-22 07:00:24+07	506	14-get-wo-kaltim	UJKT
253	2021-01-22 07:00:28+07	604	14-get-wo-tenayan	UJTY
254	2021-01-22 07:00:31+07	528	14-get-wo-pulpis	UJPS
255	2021-01-22 12:15:07+07	1589	12-get-wo-ellipse	UP
256	2021-01-22 12:15:19+07	3925	13-get-wo-jomjawa	JOM-JW
257	2021-01-22 12:15:21+07	506	14-get-wo-kaltim	UJKT
258	2021-01-22 12:15:26+07	605	14-get-wo-tenayan	UJTY
259	2021-01-22 12:15:28+07	530	14-get-wo-pulpis	UJPS
260	2021-01-23 07:00:07+07	1591	12-get-wo-ellipse	UP
261	2021-01-23 07:00:19+07	3924	13-get-wo-jomjawa	JOM-JW
262	2021-01-23 07:00:21+07	503	14-get-wo-kaltim	UJKT
263	2021-01-23 07:00:26+07	605	14-get-wo-tenayan	UJTY
264	2021-01-23 07:00:29+07	535	14-get-wo-pulpis	UJPS
265	2021-01-24 07:00:22+07	1586	12-get-wo-ellipse	UP
266	2021-01-24 07:00:34+07	3938	13-get-wo-jomjawa	JOM-JW
267	2021-01-24 07:00:37+07	503	14-get-wo-kaltim	UJKT
268	2021-01-24 07:00:42+07	605	14-get-wo-tenayan	UJTY
269	2021-01-24 07:00:45+07	537	14-get-wo-pulpis	UJPS
270	2021-01-24 12:15:16+07	1580	12-get-wo-ellipse	UP
271	2021-01-24 12:15:28+07	3947	13-get-wo-jomjawa	JOM-JW
272	2021-01-24 12:15:30+07	503	14-get-wo-kaltim	UJKT
273	2021-01-24 12:15:35+07	605	14-get-wo-tenayan	UJTY
274	2021-01-24 12:15:37+07	537	14-get-wo-pulpis	UJPS
275	2021-01-25 07:00:48+07	1573	12-get-wo-ellipse	UP
276	2021-01-25 07:00:58+07	3955	13-get-wo-jomjawa	JOM-JW
277	2021-01-25 07:01:01+07	503	14-get-wo-kaltim	UJKT
278	2021-01-25 07:01:06+07	605	14-get-wo-tenayan	UJTY
279	2021-01-25 07:01:08+07	537	14-get-wo-pulpis	UJPS
280	2021-01-25 12:15:49+07	1600	12-get-wo-ellipse	UP
281	2021-01-25 12:16:01+07	3972	13-get-wo-jomjawa	JOM-JW
282	2021-01-25 12:16:03+07	510	14-get-wo-kaltim	UJKT
283	2021-01-25 12:16:07+07	606	14-get-wo-tenayan	UJTY
284	2021-01-25 12:16:10+07	533	14-get-wo-pulpis	UJPS
285	2021-01-26 07:00:14+07	1609	12-get-wo-ellipse	UP
286	2021-01-26 07:00:25+07	3990	13-get-wo-jomjawa	JOM-JW
287	2021-01-26 07:00:28+07	511	14-get-wo-kaltim	UJKT
288	2021-01-26 07:00:32+07	607	14-get-wo-tenayan	UJTY
289	2021-01-26 07:00:35+07	536	14-get-wo-pulpis	UJPS
290	2021-01-26 12:15:12+07	1614	12-get-wo-ellipse	UP
291	2021-01-26 12:15:23+07	4021	13-get-wo-jomjawa	JOM-JW
292	2021-01-26 12:15:27+07	512	14-get-wo-kaltim	UJKT
293	2021-01-26 12:15:31+07	611	14-get-wo-tenayan	UJTY
